지역명,규모구분,연도,월,분양가격(제곱미터)
인천,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,3112.0
인천,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,3545.0
인천,전용면적 102제곱미터초과,2016.0,2.0,3408.0
경기,모든면적,2016.0,2.0,3219.0
경기,전용면적 60제곱미터이하,2016.0,2.0,3294.0
경기,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,3268.0
경기,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,3381.0
경기,전용면적 102제곱미터초과,2016.0,2.0,3669.0
부산,모든면적,2016.0,2.0,3154.0
부산,전용면적 60제곱미터이하,2016.0,2.0,2999.0
부산,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,3060.0
부산,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2957.0
부산,전용면적 102제곱미터초과,2016.0,2.0,3812.0
대구,모든면적,2016.0,2.0,3064.0
대구,전용면적 60제곱미터이하,2016.0,2.0,3341.0
대구,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,3079.0
대구,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2532.0
대구,전용면적 102제곱미터초과,2016.0,2.0,2743.0
광주,모든면적,2016.0,2.0,2569.0
광주,전용면적 60제곱미터이하,2016.0,2.0,2395.0
광주,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2582.0
광주,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,
광주,전용면적 102제곱미터초과,2016.0,2.0,
대전,모든면적,2016.0,2.0,2454.0
대전,전용면적 60제곱미터이하,2016.0,2.0,2585.0
대전,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2428.0
대전,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2461.0
대전,전용면적 102제곱미터초과,2016.0,2.0,
울산,모든면적,2016.0,2.0,3046.0
울산,전용면적 60제곱미터이하,2016.0,2.0,2584.0
울산,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,3053.0
울산,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2663.0
울산,전용면적 102제곱미터초과,2016.0,2.0,2874.0
세종,모든면적,2016.0,2.0,2665.0
세종,전용면적 60제곱미터이하,2016.0,2.0,2601.0
세종,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2676.0
세종,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2661.0
세종,전용면적 102제곱미터초과,2016.0,2.0,2752.0
강원,모든면적,2016.0,2.0,2173.0
강원,전용면적 60제곱미터이하,2016.0,2.0,2290.0
강원,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2200.0
강원,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,
강원,전용면적 102제곱미터초과,2016.0,2.0,2350.0
충북,모든면적,2016.0,2.0,2008.0
충북,전용면적 60제곱미터이하,2016.0,2.0,1952.0
충북,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2021.0
충북,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2276.0
충북,전용면적 102제곱미터초과,2016.0,2.0,2261.0
충남,모든면적,2016.0,2.0,2272.0
충남,전용면적 60제곱미터이하,2016.0,2.0,2496.0
충남,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2282.0
충남,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2541.0
충남,전용면적 102제곱미터초과,2016.0,2.0,2444.0
전북,모든면적,2016.0,2.0,1980.0
전북,전용면적 60제곱미터이하,2016.0,2.0,1908.0
전북,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,1987.0
전북,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2377.0
전북,전용면적 102제곱미터초과,2016.0,2.0,2283.0
전남,모든면적,2016.0,2.0,1923.0
전남,전용면적 60제곱미터이하,2016.0,2.0,1999.0
전남,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,1921.0
전남,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2262.0
전남,전용면적 102제곱미터초과,2016.0,2.0,2176.0
경북,모든면적,2016.0,2.0,2179.0
경북,전용면적 60제곱미터이하,2016.0,2.0,2172.0
